"GDP DEFLATORS AT MARKET PRICES, AND MONEY GDP",,,,,,,,,
,,,,,,,,,
Outturn data are as at the Quarterly National Accounts from ONS - last updated 29 March 2018.,,,,,,,,,
Forecast data are consistent with OBR Spring Statement EFO data as at 13 March 2018,,,,,,,,,
Financial year,,,,,,Calendar year,,,
,GDP deflator at market prices ,,"Money GDP (3), (4)",,,,GDP deflator at market prices ,,Money GDP (3)
"2020-21 (1), (2)",-,1.66,"2,241,389","2,241,505",,"2020 (1), (2)",-,1.65,"2,224,866"
"2021-22 (1), (2)",-,1.74,"2,312,027","2,312,007",,"2021 (1), (2)",-,1.71,"2,293,682"
"2022-23 (1), (2)",-,1.84,"2,388,995","2,388,851",,"2022 (1), (2)",-,1.82,"2,369,357"
Sources and footnotes:,,,,,,,,,
GDP Deflator:,Financial years 1955-56 to 2016-17 taken from ONS series L8GG in data tables: Table N.,,,,,,,,
,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/ukquarterlynationalaccountsdatatables/current/ukquarterlynationalaccountsdatatables.xls,,,,,,,,
,Calendar years 1955 to 2017 taken from ONS series MNF2 in data tables: Table O.,,,,,,,,
,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/ukquarterlynationalaccountsdatatables/current/ukquarterlynationalaccountsdatatables.xls,,,,,,,,
,For years 2017-18 to 2022-23 (2018 to 2022): taken from the Office for Budgetary Responsibility (OBR) forecasts for GDP deflator increases as of March 2018 Economy supplementary tables.,,,,,,,,
,http://obr.uk/efo/economic-fiscal-outlook-march-2018/,,,,,,,,
Money GDP:,For years 1955-56 to 2016-17 (1955 to 2017): ONS data for money GDP not seasonally adjusted series BKTL in data tables: Table N.,,,,,,,,
,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/ukquarterlynationalaccountsdatatables/current/ukquarterlynationalaccountsdatatables.xls,,,,,,,,
,For years 1955-56 to 2016-17: ONS data for money GDP seasonally adjusted series YBHA in data tables: Table N.,,,,,,,,
,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/ukquarterlynationalaccountsdatatables/current/ukquarterlynationalaccountsdatatables.xls,,,,,,,,
,For years 2017-18 to 2022-23 (2018 to 2022): taken from the Office for Budgetary Responsibility (OBR) forecasts for GDP deflator increases as of March 2018 Economy supplementary tables.,,,,,,,,
,http://obr.uk/efo/economic-fiscal-outlook-march-2018/,,,,,,,,
Footnotes:,,,,,,,,,
1),"For years 2017-18 to 2022-23 (2018 to 2022), this presentation only shows percentage changes in line with OBR data as of the Spring Statement 2018.",,,,,,,,
2),"For years 2017-18 to 2022-23 (2018 to 2022), money GDP forecasts from the OBR as of the Spring Statement 2018.",,,,,,,,
3),Non-Seasonally adjusted money GDP (BKTL) from 1955-56 to 2016-17 (1955 to 2017) consistent with ONS Quarterly National Accounts release of 29 March 2018.,,,,,,,,
4),Seasonally adjusted money GDP (YBHA) from 1955-56 to 2016-17 consistent with ONS Quarterly National Accounts release of 29 March 2018.,,,,,,,,
5),"For further information and the 'User's Guide' to these series, please visit the following page on the GOV.UK website at: ",,,,,,,,
,https://www.gov.uk/government/publications/gross-domestic-product-gdp-deflators-user-guide,,,,,,,,
6),"For practical examples of how to use the GDP deflator series, please visit the following page on the GOV.UK website at: ",,,,,,,,
,https://www.gov.uk/government/publications/how-to-use-the-gdp-deflator-series-practical-examples,,,,,,,,
